Customer id,Gender,Age,Payment method
C01044,M,43,Cash
C01045,F,44,Cash
C01046,F,59,Cash
C01047,F,46,Mobile Payment
C01048,F,45,Credit Card
C01049,M,60,Cash
C01050,M,48,Mobile Payment
C01051,M,38,Cash
C01052,F,24,Cash
C01053,F,46,Cash
C01054,F,59,Cash
C01055,M,38,Cash
C01056,F,39,Credit Card
C01057,M,18,Mobile Payment
C01058,F,32,Credit Card
C01059,F,53,Mobile Payment
C01060,F,25,Cash
C01061,F,26,Cash
C01062,F,46,Credit Card
C01063,M,25,Cash
C01064,F,36,Cash
C01065,M,55,Credit Card
C01066,M,47,Mobile Payment
C01067,F,60,Cash
C01068,M,41,Credit Card
C01069,F,42,Credit Card
C01070,M,53,Cash
C01071,F,41,Cash
C01072,M,30,Cash
C01073,F,18,Cash
C01074,M,38,Cash
C01075,F,23,Credit Card
C01076,F,19,Cash
C01077,F,46,Cash
C01078,M,50,Mobile Payment
C01079,F,48,Credit Card
C01080,M,19,Credit Card
C01081,F,58,Cash
C01082,M,37,Cash
C01083,F,31,Mobile Payment
C01084,F,43,Cash
C01085,F,58,Credit Card
C01086,M,35,Cash
C01087,M,55,Cash
C01088,M,47,Cash
C01089,M,54,Cash
C01090,M,32,Cash
C01091,M,46,Cash
C01092,F,46,Credit Card
C01093,M,24,Mobile Payment
C01094,M,44,Cash
C01095,M,21,Mobile Payment
C01096,F,47,Cash
C01097,M,44,Mobile Payment
C01098,M,25,Credit Card
C01099,M,59,Cash
C01100,F,38,Credit Card
C01101,F,31,Mobile Payment
C01102,M,33,Cash
C01103,F,57,Cash
C01104,M,57,Cash
C01105,F,43,Cash
C01106,F,24,Cash
C01107,M,31,Credit Card
C01108,F,23,Mobile Payment
C01109,F,41,Credit Card
C01110,F,20,Cash
C01111,M,29,Mobile Payment
C01112,M,42,Credit Card
C01113,M,27,Cash
C01114,M,51,Credit Card
C01115,M,21,Credit Card
C01116,F,53,Cash
C01117,M,57,Cash
C01118,M,31,Cash
C01119,F,27,Cash
C01120,F,21,Cash
C01121,F,39,Mobile Payment
C01122,F,37,Mobile Payment
C01123,M,25,Credit Card
C01124,F,49,Mobile Payment
C01125,M,24,Credit Card
C01126,F,36,Credit Card
C01127,M,37,Credit Card
C01128,F,24,Cash
C01129,F,18,Credit Card
C01130,F,26,Credit Card
C01131,M,57,Cash
C01132,F,38,Credit Card
C01133,M,18,Credit Card
C01134,M,41,Credit Card
C01135,F,30,Cash
C01136,M,26,Cash
C01137,M,22,Credit Card
C01138,F,18,Credit Card
C01139,F,35,Cash
C01140,M,41,Cash
C01141,F,32,Credit Card
C01142,F,58,Cash
C01143,M,58,Mobile Payment
C01144,F,46,Credit Card
C01145,M,41,Mobile Payment
C01146,F,20,Cash
C01147,F,41,Cash
C01148,F,54,Credit Card
C01149,F,43,Cash
C01150,M,55,Cash
C01151,F,29,Cash
C01152,M,56,Cash
C01153,F,51,Cash
C01154,F,59,Cash
C01155,F,26,Cash
C01156,M,48,Cash
C01157,M,55,Cash
C01158,F,42,Cash
C01159,M,49,Credit Card
C01160,M,54,Cash
C01161,F,26,Cash
C01162,F,51,Credit Card
C01163,M,32,Mobile Payment
C01164,F,28,Cash
C01165,F,34,Cash
C01166,M,18,Mobile Payment
C01167,M,55,Cash
C01168,M,45,Mobile Payment
C01169,F,35,Cash
C01170,M,37,Mobile Payment
C01171,F,33,Mobile Payment
C01172,F,38,Cash
C01173,M,41,Mobile Payment
C01174,M,21,Cash
C01175,F,55,Cash
C01176,F,41,Credit Card
C01177,F,28,Cash
C01178,M,59,Cash
